country_code,shop_id,date,rating_star,follower_count,item_count,response_rate,response_time,rating_good,rating_normal,rating_bad,cancellation_rate,vacation,rating_total,following_count,shop_name,is_official_shop,is_shopee_verified,is_preferred_plus_seller,source_file,source_row,path_country_code,path_dataset,path_shop_id,rating_star_num,follower_count_num,item_count_num,response_rate_num,response_time_num,rating_good_num,rating_normal_num,rating_bad_num,cancellation_rate_num,rating_total_num,following_count_num,vacation_bool,is_official_shop_bool,is_shopee_verified_bool,is_preferred_plus_seller_bool
id,779266191,2026-07-02,4.89,836453,40,100,3,732244,10381,1982,0,false,744607,0,lavojoy Official Shop,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=779266191/shop_stats.csv,5,id,shop_stats,779266191,4.89,836453.0,40.0,100.0,3.0,732244.0,10381.0,1982.0,0.0,744607.0,0.0,False,True,False,False
id,779266191,2026-07-05,4.89,838376,40,100,3,734203,10400,1985,0,false,746588,0,lavojoy Official Shop,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=779266191/shop_stats.csv,6,id,shop_stats,779266191,4.89,838376.0,40.0,100.0,3.0,734203.0,10400.0,1985.0,0.0,746588.0,0.0,False,True,False,False
id,779266191,2026-07-04,4.89,837781,40,100,3,733131,10386,1985,0,false,745502,0,lavojoy Official Shop,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=779266191/shop_stats.csv,7,id,shop_stats,779266191,4.89,837781.0,40.0,100.0,3.0,733131.0,10386.0,1985.0,0.0,745502.0,0.0,False,True,False,False
id,779266191,2026-07-07,4.89,840989,40,100,3,735600,10418,1988,0,false,748006,0,lavojoy Official Shop,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=779266191/shop_stats.csv,8,id,shop_stats,779266191,4.89,840989.0,40.0,100.0,3.0,735600.0,10418.0,1988.0,0.0,748006.0,0.0,False,True,False,False
id,779266191,2026-07-15,4.89,843810,41,100,12,743541,10483,2001,0,false,756025,0,lavojoy Official Shop,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=779266191/shop_stats.csv,9,id,shop_stats,779266191,4.89,843810.0,41.0,100.0,12.0,743541.0,10483.0,2001.0,0.0,756025.0,0.0,False,True,False,False
id,779266191,2026-07-13,4.89,843261,41,100,11,741792,10461,1999,0,false,754252,0,lavojoy Official Shop,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=779266191/shop_stats.csv,10,id,shop_stats,779266191,4.89,843261.0,41.0,100.0,11.0,741792.0,10461.0,1999.0,0.0,754252.0,0.0,False,True,False,False
id,779266191,2026-07-10,4.89,842478,40,100,11,738724,10437,1996,0,false,751157,0,lavojoy Official Shop,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=779266191/shop_stats.csv,11,id,shop_stats,779266191,4.89,842478.0,40.0,100.0,11.0,738724.0,10437.0,1996.0,0.0,751157.0,0.0,False,True,False,False
id,779266191,2026-07-09,4.89,842256,40,100,3,737726,10431,1993,0,false,750150,0,lavojoy Official Shop,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=779266191/shop_stats.csv,12,id,shop_stats,779266191,4.89,842256.0,40.0,100.0,3.0,737726.0,10431.0,1993.0,0.0,750150.0,0.0,False,True,False,False
id,779266191,2026-07-08,4.89,842097,40,100,3,736728,10423,1990,0,false,749141,0,lavojoy Official Shop,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=779266191/shop_stats.csv,13,id,shop_stats,779266191,4.89,842097.0,40.0,100.0,3.0,736728.0,10423.0,1990.0,0.0,749141.0,0.0,False,True,False,False
id,779266191,2026-07-11,4.89,842803,40,100,11,740276,10448,1996,0,false,752720,0,lavojoy Official Shop,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=779266191/shop_stats.csv,14,id,shop_stats,779266191,4.89,842803.0,40.0,100.0,11.0,740276.0,10448.0,1996.0,0.0,752720.0,0.0,False,True,False,False
