country_code,shop_id,shop_category_id,display_name,total,is_parent_category,is_sub_category,parent_shop_category_id,image,category_type,date,source_file,source_row,path_country_code,path_dataset,path_shop_id,shop_category_id_num,total_num,parent_shop_category_id_num,category_type_num,is_parent_category_bool,is_sub_category_bool
id,200048291,246753101,BODY LOTION,1,true,false,,mms@id-11134204-7rbk3-m9h3f0ar6ucda9,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=200048291/category_list.csv,7,id,category_list,200048291,246753101.0,1.0,,1.0,True,False
id,430940247,259141296,Hair And Body Mist,3,true,false,,id-11134207-7ra0m-mbsylvwphqgj9e,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=430940247/category_list.csv,2,id,category_list,430940247,259141296.0,3.0,,1.0,True,False
id,430940247,257516849,Skincare Wajah,3,true,false,,id-11134207-8224s-mgj5slckn40d65,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=430940247/category_list.csv,3,id,category_list,430940247,257516849.0,3.0,,1.0,True,False
id,430940247,257288224,Lotion,3,true,false,,id-11134207-8224q-mg4v9420ms5p76,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=430940247/category_list.csv,4,id,category_list,430940247,257288224.0,3.0,,1.0,True,False
id,430940247,257288198,Paket Bundling,10,true,false,,id-11134207-82251-mgg33tmpaqz109,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=430940247/category_list.csv,5,id,category_list,430940247,257288198.0,10.0,,1.0,True,False
id,430940247,257288159,Serum Wajah,3,true,false,,id-11134207-81ztc-mqmzs79r9kowef,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=430940247/category_list.csv,6,id,category_list,430940247,257288159.0,3.0,,1.0,True,False
id,430940247,248170705,Perawatan Tubuh,1,true,false,,mms@id-11134204-7r98t-lo982ohkbzfoe1,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=430940247/category_list.csv,7,id,category_list,430940247,248170705.0,1.0,,1.0,True,False
id,697604885,11043151,"Body Cream, Body Lotion & Body Butter",3,false,false,,id-11134207-822wg-mmfhbep3n6kg91,8,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=697604885/category_list.csv,2,id,category_list,697604885,11043151.0,3.0,,8.0,False,False
id,779266191,268471877,FLAKES OFF MY CROWN SELENIUM,2,true,false,,id-11134207-822wt-mlha5gvc7i8561,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=779266191/category_list.csv,2,id,category_list,779266191,268471877.0,2.0,,1.0,True,False
id,779266191,266741284,CALM ME SOFTLY,3,true,false,,id-11134207-82252-mjqngn10rzeod5,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=779266191/category_list.csv,3,id,category_list,779266191,266741284.0,3.0,,1.0,True,False
id,779266191,265934881,SPECIAL DEALS,8,true,false,,id-11134207-8224v-mhtxgccfl91i30,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=779266191/category_list.csv,4,id,category_list,779266191,265934881.0,8.0,,1.0,True,False
id,779266191,264914127,REPAIR ME NOW,3,true,false,,id-11134207-82252-mhzjyd99wpvo4d,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=779266191/category_list.csv,5,id,category_list,779266191,264914127.0,3.0,,1.0,True,False
id,779266191,262924137,LET IT GLOW,14,true,false,,id-11134207-8224s-mjfd7twwm96q8a,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=779266191/category_list.csv,6,id,category_list,779266191,262924137.0,14.0,,1.0,True,False
id,779266191,260134642,LVJ BODY SERUM TONE UP,4,true,false,,mms@id-11134204-7ra0p-mdbhrwxzqucn81,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=779266191/category_list.csv,7,id,category_list,779266191,260134642.0,4.0,,1.0,True,False
id,779266191,260134616,LVJ HAIR FALL CARE,7,true,false,,mms@id-11134204-7ra0u-mdbhrwxzs8x30f,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=779266191/category_list.csv,8,id,category_list,779266191,260134616.0,7.0,,1.0,True,False
id,779266191,260134144,LVJ TOP PICKS,9,true,false,,mms@id-11134204-7ra0s-mdbhrwxztnhj38,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=779266191/category_list.csv,9,id,category_list,779266191,260134144.0,9.0,,1.0,True,False
id,779266191,260134071,LVJ HAIR ESSENTIALS SET,5,true,false,,mms@id-11134204-7ra0t-mdbhrwxzv21zb8,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=779266191/category_list.csv,10,id,category_list,779266191,260134071.0,5.0,,1.0,True,False
id,779266191,260134019,LVJ BODY ESSENTIALS SET,4,true,false,,mms@id-11134204-7ra0o-mdbhrwxzwgmfed,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=779266191/category_list.csv,11,id,category_list,779266191,260134019.0,4.0,,1.0,True,False
id,779266191,260133890,LVJ HAIR CARE SERIES,13,true,false,,mms@id-11134204-7ra0q-mdbhrwxzxv6vd8,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=779266191/category_list.csv,12,id,category_list,779266191,260133890.0,13.0,,1.0,True,False
id,779266191,245872197,LVJ BODY CARE SERIES,14,true,false,,mms@id-11134204-7ra0i-mdbhrwxzz9rbc0,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=779266191/category_list.csv,13,id,category_list,779266191,245872197.0,14.0,,1.0,True,False
id,809769142,257839010,Anti-noda,3,false,true,257838748,mms@id-11134204-7rbk2-m94hx3nwxaqacf,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=809769142/category_list.csv,2,id,category_list,809769142,257839010.0,3.0,257838748.0,1.0,False,True
id,809769142,257838930,Memperbaiki skin barrier kulit,8,false,true,257838748,mms@id-11134204-7rbk1-m94hx3nwt30y25,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=809769142/category_list.csv,3,id,category_list,809769142,257838930.0,8.0,257838748.0,1.0,False,True
id,809769142,257838986,Anti-penuaan,6,false,true,257838748,mms@id-11134204-7rbk0-m94hx3nwuhle2e,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=809769142/category_list.csv,4,id,category_list,809769142,257838986.0,6.0,257838748.0,1.0,False,True
id,809769142,257839147,Anti-jerawat,15,false,true,257838748,mms@id-11134204-7rbk4-m94hx3nwypaq3f,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=809769142/category_list.csv,5,id,category_list,809769142,257839147.0,15.0,257838748.0,1.0,False,True
id,809769142,257839180,Eksfoliasi + Perbaikan Kulit,6,false,true,257838748,mms@id-11134204-7rbk7-m94hx3nx03v63a,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=809769142/category_list.csv,6,id,category_list,809769142,257839180.0,6.0,257838748.0,1.0,False,True
id,809769142,257838749,Mencerahkan kulit,14,false,true,257838748,mms@id-11134204-7rbkb-m94hx3nwq9w254,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=809769142/category_list.csv,7,id,category_list,809769142,257838749.0,14.0,257838748.0,1.0,False,True
id,809769142,257838748,SHOP BY NEEDS,46,true,false,,mms@id-11134204-7rbk5-m94hx3nwrogi69,9,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=809769142/category_list.csv,8,id,category_list,809769142,257838748.0,46.0,,9.0,True,False
id,809769142,267026251,Exclusive Member,2,true,false,,mms@id-11134204-8224p-mkbrc4p03u9y90,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=809769142/category_list.csv,9,id,category_list,809769142,267026251.0,2.0,,1.0,True,False
id,809769142,257838568,Makeup,6,false,true,257838567,id-11134207-822ws-mphkg88ycob0cf,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=809769142/category_list.csv,10,id,category_list,809769142,257838568.0,6.0,257838567.0,1.0,False,True
id,809769142,257838569,Makeup Remover,11,false,true,257838567,mms@id-11134204-7rbkc-m94gyq7vnqq961,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=809769142/category_list.csv,11,id,category_list,809769142,257838569.0,11.0,257838567.0,1.0,False,True
id,809769142,257838567,MAKE UP,17,true,false,,mms@id-11134204-7rbk2-m94gyq7vp5ap81,9,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=809769142/category_list.csv,12,id,category_list,809769142,257838567.0,17.0,,9.0,True,False
id,809769142,257838520,Lip,2,false,true,257838433,mms@id-11134204-7rbk8-m94gyq7vmc5t28,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=809769142/category_list.csv,13,id,category_list,809769142,257838520.0,2.0,257838433.0,1.0,False,True
id,809769142,257838511,Body serum,4,false,true,257838433,id-11134207-81zti-mqwp7uzpimmka0,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=809769142/category_list.csv,14,id,category_list,809769142,257838511.0,4.0,257838433.0,1.0,False,True
id,809769142,257838483,Clay Mask&Stick,7,false,true,257838433,id-11134207-81ztj-mqwouyssw2do60,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=809769142/category_list.csv,15,id,category_list,809769142,257838483.0,7.0,257838433.0,1.0,False,True
id,809769142,257838475,Toner,6,false,true,257838433,id-11134207-822wp-mmhean9jd4p49b,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=809769142/category_list.csv,16,id,category_list,809769142,257838475.0,6.0,257838433.0,1.0,False,True
id,809769142,257838481,Facial Cleanser,16,false,true,257838433,id-11134207-822wg-mo4rgeieqe4g56,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=809769142/category_list.csv,17,id,category_list,809769142,257838481.0,16.0,257838433.0,1.0,False,True
id,809769142,257838452,Serum,7,false,true,257838433,id-11134207-822wh-moyqb994ka3275,1,2026-07-21,data/raw_extended/country_code=id/dataset=category_list/shop_id=809769142/category_list.csv,18,id,category_list,809769142,257838452.0,7.0,257838433.0,1.0,False,True
