product_listing_key,country_code,shop_id,item_id,previous_date,date,days_since_previous,transition_metric_eligible,price_change,price_change_percent,discount_point_change,monthly_sold_delta,history_sold_delta_raw,history_sold_decrease_flag,snapshot_sales_delta_clean,rating_change,new_rating_count,like_delta,previous_has_structured_voucher,has_structured_voucher,stock_status,source_file,source_row
id:1112776376:24122148904,id,1112776376,24122148904,2026-07-07,2026-07-08,1,True,500.0,0.6720430107526881,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,369
id:1112776376:24122148904,id,1112776376,24122148904,2026-07-08,2026-07-09,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,802
id:1112776376:24122148904,id,1112776376,24122148904,2026-07-09,2026-07-10,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,425
id:1112776376:24122148904,id,1112776376,24122148904,2026-07-10,2026-07-11,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,493
id:1112776376:24122148904,id,1112776376,24122148904,2026-07-11,2026-07-13,2,False,,,,,,False,,,,,False,False,not_comparable_snapshot_gap,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,545
id:1112776376:24122148904,id,1112776376,24122148904,2026-07-13,2026-07-14,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,573
id:1112776376:24122148904,id,1112776376,24122148904,2026-07-14,2026-07-15,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,628
id:1112776376:24122148904,id,1112776376,24122148904,2026-07-15,2026-07-16,1,True,-150.0,-0.20026702269692923,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,675
id:1112776376:24122148904,id,1112776376,24122148904,2026-07-16,2026-07-17,1,True,150.0,0.20066889632107024,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,729
id:1112776376:24122148904,id,1112776376,24122148904,2026-07-17,2026-07-18,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,850
id:1112776376:24122148904,id,1112776376,24122148904,2026-07-18,2026-07-19,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,1013
id:1112776376:24122148904,id,1112776376,24122148904,2026-07-19,2026-07-20,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,960
id:1112776376:24122148904,id,1112776376,24122148904,2026-07-20,2026-07-21,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,902
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-01,2026-07-02,1,True,500.0,0.6720430107526881,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,35
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-02,2026-07-03,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,73
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-03,2026-07-04,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,244
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-04,2026-07-05,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,131
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-05,2026-07-06,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,168
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-06,2026-07-07,1,True,-500.0,-0.6675567423230975,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,205
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-07,2026-07-08,1,True,500.0,0.6720430107526881,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,348
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-08,2026-07-09,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,782
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-09,2026-07-10,1,True,-150.0,-0.20026702269692923,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,401
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-10,2026-07-11,1,True,150.0,0.20066889632107024,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,470
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-11,2026-07-13,2,False,,,,,,False,,,,,False,False,not_comparable_snapshot_gap,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,510
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-13,2026-07-14,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,559
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-14,2026-07-15,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,615
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-15,2026-07-16,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,688
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-16,2026-07-17,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,740
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-17,2026-07-18,1,True,-150.0,-0.20026702269692923,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,840
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-18,2026-07-19,1,True,150.0,0.20066889632107024,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,1003
id:1112776376:24422151156,id,1112776376,24422151156,2026-07-19,2026-07-20,1,True,0.0,0.0,,,,False,,,,,False,False,available,data/raw_extended/country_code=id/dataset=products/shop_id=1112776376/products.csv,950
