shop_id,date,item_id,category_slug,category_id
173513432,2026-07-01,4980351726,250597411,250597411
173513432,2026-07-01,9048796121,250597411,250597411
173513432,2026-07-01,2989938577,250597411,250597411
173513432,2026-07-01,5204384448,250597411,250597411
173513432,2026-07-01,23962091148,250597411,250597411
173513432,2026-07-01,10308626576,250597411,250597411
173513432,2026-07-01,5563532430,250597411,250597411
173513432,2026-07-01,29260645058,250597411,250597411
173513432,2026-07-01,4204384892,250597411,250597411
173513432,2026-07-01,6147372534,250597411,250597411
173513432,2026-07-01,25532918156,250597411,250597411
173513432,2026-07-01,27231816576,250597411,250597411
173513432,2026-07-01,4581436119,250597411,250597411
173513432,2026-07-01,12993802768,250597411,250597411
173513432,2026-07-01,23362087945,250597463,250597463
173513432,2026-07-01,23244384737,250597463,250597463
173513432,2026-07-01,23586025018,250597463,250597463
173513432,2026-07-01,28534686552,250597463,250597463
173513432,2026-07-01,10808120998,250597496,250597496
173513432,2026-07-01,19443108444,250597496,250597496
173513432,2026-07-01,11562223451,250597496,250597496
173513432,2026-07-01,2906940093,250597496,250597496
173513432,2026-07-01,8323910362,250597496,250597496
173513432,2026-07-01,23462048809,250597543,250597543
173513432,2026-07-01,29160911160,250597543,250597543
173513432,2026-07-01,14158683593,250597543,250597543
173513432,2026-07-01,16926501740,250597543,250597543
173513432,2026-07-01,16604448221,250597543,250597543
173513432,2026-07-01,20085751465,250597543,250597543
173513432,2026-07-01,20886958783,250597543,250597543
173513432,2026-07-01,25907552758,250597543,250597543
173513432,2026-07-01,58010293888,250597584,250597584
173513432,2026-07-01,5103153786,250597584,250597584
173513432,2026-07-01,4003153275,250597584,250597584
173513432,2026-07-01,2907143507,250597615,250597615
173513432,2026-07-01,21152589941,250597615,250597615
173513432,2026-07-01,24084421467,250597615,250597615
173513432,2026-07-01,22287585993,250597615,250597615
173513432,2026-07-01,18348435785,250597615,250597615
173513432,2026-07-01,19452107845,250597615,250597615
173513432,2026-07-01,24743454213,250597615,250597615
173513432,2026-07-01,12133151466,250597615,250597615
173513432,2026-07-01,21071014781,250597615,250597615
173513432,2026-07-01,23362087945,259165309,259165309
173513432,2026-07-01,9048796121,259165309,259165309
173513432,2026-07-01,2989938577,259165309,259165309
173513432,2026-07-01,24382925488,259165309,259165309
173513432,2026-07-01,23962091148,259165309,259165309
173513432,2026-07-01,23586025018,259165309,259165309
173513432,2026-07-01,29260645058,259165309,259165309
173513432,2026-07-01,4204384892,259165309,259165309
173513432,2026-07-01,3100009305,261274615,261274615
173513432,2026-07-01,58010293888,269476497,269476497
173513432,2026-07-01,20085751465,269476497,269476497
173513432,2026-07-01,56012087788,269476497,269476497
173513432,2026-07-01,5942380457,269476497,269476497
173513432,2026-07-01,42201666917,269476497,269476497
173513432,2026-07-01,3100009305,269476497,269476497
173513432,2026-07-01,14728068605,269476497,269476497
173513432,2026-07-01,54861515567,269476497,269476497
173513432,2026-07-02,4980351726,250597411,250597411
173513432,2026-07-02,9048796121,250597411,250597411
173513432,2026-07-02,2989938577,250597411,250597411
173513432,2026-07-02,5204384448,250597411,250597411
173513432,2026-07-02,10308626576,250597411,250597411
173513432,2026-07-02,23962091148,250597411,250597411
173513432,2026-07-02,5563532430,250597411,250597411
173513432,2026-07-02,29260645058,250597411,250597411
173513432,2026-07-02,4204384892,250597411,250597411
173513432,2026-07-02,6147372534,250597411,250597411
173513432,2026-07-02,25532918156,250597411,250597411
173513432,2026-07-02,27231816576,250597411,250597411
173513432,2026-07-02,4581436119,250597411,250597411
173513432,2026-07-02,12993802768,250597411,250597411
173513432,2026-07-02,23362087945,250597463,250597463
173513432,2026-07-02,23244384737,250597463,250597463
173513432,2026-07-02,23586025018,250597463,250597463
173513432,2026-07-02,28534686552,250597463,250597463
173513432,2026-07-02,10808120998,250597496,250597496
173513432,2026-07-02,19443108444,250597496,250597496
173513432,2026-07-02,2906940093,250597496,250597496
173513432,2026-07-02,11562223451,250597496,250597496
173513432,2026-07-02,8323910362,250597496,250597496
173513432,2026-07-02,29160911160,250597543,250597543
173513432,2026-07-02,23462048809,250597543,250597543
173513432,2026-07-02,14158683593,250597543,250597543
173513432,2026-07-02,16926501740,250597543,250597543
173513432,2026-07-02,16604448221,250597543,250597543
173513432,2026-07-02,20085751465,250597543,250597543
173513432,2026-07-02,20886958783,250597543,250597543
173513432,2026-07-02,25907552758,250597543,250597543
173513432,2026-07-02,58010293888,250597584,250597584
173513432,2026-07-02,4003153275,250597584,250597584
173513432,2026-07-02,5103153786,250597584,250597584
173513432,2026-07-02,2907143507,250597615,250597615
173513432,2026-07-02,21152589941,250597615,250597615
173513432,2026-07-02,22287585993,250597615,250597615
173513432,2026-07-02,24084421467,250597615,250597615
173513432,2026-07-02,19452107845,250597615,250597615
173513432,2026-07-02,18348435785,250597615,250597615
173513432,2026-07-02,24743454213,250597615,250597615
173513432,2026-07-02,12133151466,250597615,250597615
173513432,2026-07-02,21071014781,250597615,250597615
173513432,2026-07-02,23362087945,259165309,259165309
173513432,2026-07-02,9048796121,259165309,259165309
173513432,2026-07-02,24382925488,259165309,259165309
173513432,2026-07-02,2989938577,259165309,259165309
173513432,2026-07-02,23962091148,259165309,259165309
173513432,2026-07-02,29260645058,259165309,259165309
173513432,2026-07-02,23586025018,259165309,259165309
173513432,2026-07-02,4204384892,259165309,259165309
173513432,2026-07-02,3100009305,261274615,261274615
173513432,2026-07-02,58010293888,269476497,269476497
173513432,2026-07-02,20085751465,269476497,269476497
173513432,2026-07-02,56012087788,269476497,269476497
173513432,2026-07-02,5942380457,269476497,269476497
173513432,2026-07-02,42201666917,269476497,269476497
173513432,2026-07-02,14728068605,269476497,269476497
173513432,2026-07-02,3100009305,269476497,269476497
173513432,2026-07-02,54861515567,269476497,269476497
173513432,2026-07-03,4980351726,250597411,250597411
173513432,2026-07-03,9048796121,250597411,250597411
173513432,2026-07-03,2989938577,250597411,250597411
173513432,2026-07-03,5204384448,250597411,250597411
173513432,2026-07-03,10308626576,250597411,250597411
173513432,2026-07-03,23962091148,250597411,250597411
173513432,2026-07-03,4204384892,250597411,250597411
173513432,2026-07-03,5563532430,250597411,250597411
173513432,2026-07-03,6147372534,250597411,250597411
173513432,2026-07-03,29260645058,250597411,250597411
173513432,2026-07-03,25532918156,250597411,250597411
173513432,2026-07-03,27231816576,250597411,250597411
173513432,2026-07-03,4581436119,250597411,250597411
173513432,2026-07-03,12993802768,250597411,250597411
173513432,2026-07-03,23362087945,250597463,250597463
173513432,2026-07-03,23244384737,250597463,250597463
173513432,2026-07-03,28534686552,250597463,250597463
173513432,2026-07-03,23586025018,250597463,250597463
173513432,2026-07-03,10808120998,250597496,250597496
173513432,2026-07-03,19443108444,250597496,250597496
173513432,2026-07-03,2906940093,250597496,250597496
173513432,2026-07-03,11562223451,250597496,250597496
173513432,2026-07-03,8323910362,250597496,250597496
173513432,2026-07-03,23462048809,250597543,250597543
173513432,2026-07-03,29160911160,250597543,250597543
173513432,2026-07-03,14158683593,250597543,250597543
173513432,2026-07-03,16604448221,250597543,250597543
173513432,2026-07-03,16926501740,250597543,250597543
173513432,2026-07-03,20085751465,250597543,250597543
173513432,2026-07-03,25907552758,250597543,250597543
173513432,2026-07-03,20886958783,250597543,250597543
173513432,2026-07-03,58010293888,250597584,250597584
173513432,2026-07-03,4003153275,250597584,250597584
173513432,2026-07-03,5103153786,250597584,250597584
173513432,2026-07-03,2907143507,250597615,250597615
173513432,2026-07-03,21152589941,250597615,250597615
173513432,2026-07-03,22287585993,250597615,250597615
173513432,2026-07-03,24084421467,250597615,250597615
173513432,2026-07-03,19452107845,250597615,250597615
173513432,2026-07-03,18348435785,250597615,250597615
173513432,2026-07-03,24743454213,250597615,250597615
173513432,2026-07-03,12133151466,250597615,250597615
173513432,2026-07-03,21071014781,250597615,250597615
173513432,2026-07-03,9048796121,259165309,259165309
173513432,2026-07-03,23362087945,259165309,259165309
173513432,2026-07-03,2989938577,259165309,259165309
173513432,2026-07-03,24382925488,259165309,259165309
173513432,2026-07-03,23962091148,259165309,259165309
173513432,2026-07-03,4204384892,259165309,259165309
173513432,2026-07-03,29260645058,259165309,259165309
173513432,2026-07-03,23586025018,259165309,259165309
173513432,2026-07-03,3100009305,261274615,261274615
173513432,2026-07-03,58010293888,269476497,269476497
173513432,2026-07-03,56012087788,269476497,269476497
173513432,2026-07-03,20085751465,269476497,269476497
173513432,2026-07-03,3100009305,269476497,269476497
173513432,2026-07-03,5942380457,269476497,269476497
173513432,2026-07-03,14728068605,269476497,269476497
173513432,2026-07-03,42201666917,269476497,269476497
173513432,2026-07-03,54861515567,269476497,269476497
