"country_code","shop_id","item_id","date","price","price_original","price_before_promo","discount_percent","history_sold","monthly_sold","liked_count","rating","rating_count","unit_sold"
vn,"213989179","49462558993",2026-07-15,100000,100000,100000,,191,190,0,4.65,23,0
vn,"213989179","47963062968",2026-07-15,100000,100000,100000,,31,27,0,5.00,4,0
vn,"1145316676","28741775607",2026-07-15,460000,500000,500000,8,842,5,7,4.89,165,0
vn,"1546895026","40954012983",2026-07-15,131000,150000,131000,13,2000,361,142,4.95,480,0
vn,"173513432","24700849955",2026-07-15,130000,130000,130000,,227,1,68,4.63,27,0
vn,"173513432","17685918348",2026-07-15,920000,920000,920000,,300,282,9,5.00,6,0
vn,"173513432","29102383878",2026-07-15,200000,200000,200000,,122,,22,4.95,39,0
vn,"173513432","24252360598",2026-07-15,1550000,1550000,1550000,,1,,1,0.00,0,0
vn,"173513432","19995203607",2026-07-15,210000,210000,210000,,626,238,51,4.77,39,0
id,"809769142","52463091977",2026-07-15,149000,149000,149000,,4,4,9,5.00,3,0
vn,"1145316676","26670140794",2026-07-15,460000,500000,500000,8,812,235,2,4.88,83,0
id,"809769142","47806001969",2026-07-15,77000,199000,77000,61,10000,1000,2417,4.93,2674,0
vn,"1145316676","29370485469",2026-07-16,460000,500000,500000,8,829,48,3,4.95,149,0
id,"1368540320","46300762080",2026-07-16,90200,1182888,90200,92,133,12,75,4.89,81,0
id,"1368540320","57860156397",2026-07-16,1135000,1135000,1135000,,1,,3,4.00,1,0
vn,"173513432","43506663882",2026-07-16,48000,80000,48000,40,346,,32,4.85,86,0
id,"1368540320","24994496898",2026-07-16,105000,599000,105000,82,2000,9,756,4.86,1157,0
id,"1368540320","40280804783",2026-07-16,69000,420000,69000,84,988,631,272,4.93,232,0
id,"1368540320","54059337526",2026-07-16,69000,580000,69000,88,35,7,42,4.86,22,0
vn,"438905996","29738422873",2026-07-17,152000,250000,152000,39,191,15,35,4.85,48,0
vn,"438905996","40507120621",2026-07-17,100000,189000,100000,47,15,3,5,5.00,2,0
vn,"438905996","21795581180",2026-07-17,45000,60000,45000,25,1000,143,177,4.88,209,0
vn,"438905996","25744440915",2026-07-17,165000,199000,165000,17,369,9,74,4.88,80,0
vn,"1546895026","41175907017",2026-07-17,970000,1000000,1000000,3,4000,719,8,4.94,640,0
id,"200048291","26978271496",2026-07-17,999499,999999,999999,1,156,,3,4.97,60,0
