"country_code","shop_id","item_id","date","category_id","category_slug","created_at"
id,"1112776376","26962670206",2026-07-05,"255242476",calming-agent,2026-07-22 17:28:38.256 +0700
id,"1112776376","28360413045",2026-07-05,"255242476",calming-agent,2026-07-22 17:28:38.256 +0700
id,"1112776376","27160418327",2026-07-05,"255242476",calming-agent,2026-07-22 17:28:38.256 +0700
id,"1112776376","25190984781",2026-07-05,"256367789",best-selling-tone-up-cream,2026-07-22 17:28:38.256 +0700
id,"1112776376","26474964451",2026-07-05,"256367789",best-selling-tone-up-cream,2026-07-22 17:28:38.256 +0700
id,"1112776376","44250862508",2026-07-05,"257288356",special-day-banting-harga,2026-07-22 17:28:38.256 +0700
id,"1112776376","43050856028",2026-07-05,"257288356",special-day-banting-harga,2026-07-22 17:28:38.256 +0700
id,"1112776376","44150857512",2026-07-05,"257288356",special-day-banting-harga,2026-07-22 17:28:38.256 +0700
id,"1112776376","25190984781",2026-07-05,"257288356",special-day-banting-harga,2026-07-22 17:28:38.256 +0700
id,"1112776376","26474964451",2026-07-05,"257288356",special-day-banting-harga,2026-07-22 17:28:38.256 +0700
id,"1112776376","25666019829",2026-07-05,"257288356",special-day-banting-harga,2026-07-22 17:28:38.256 +0700
id,"1112776376","28581613018",2026-07-05,"257288356",special-day-banting-harga,2026-07-22 17:28:38.256 +0700
id,"1112776376","25815711335",2026-07-05,"257288356",special-day-banting-harga,2026-07-22 17:28:38.256 +0700
id,"1112776376","44250862508",2026-07-05,"258324793",bright-me-up-sunscreen-spf-40-pa,2026-07-22 17:28:38.256 +0700
id,"1112776376","43050856028",2026-07-05,"258324793",bright-me-up-sunscreen-spf-40-pa,2026-07-22 17:28:38.256 +0700
id,"1112776376","43350865998",2026-07-05,"258324793",bright-me-up-sunscreen-spf-40-pa,2026-07-22 17:28:38.256 +0700
id,"1112776376","44150857512",2026-07-05,"258324793",bright-me-up-sunscreen-spf-40-pa,2026-07-22 17:28:38.256 +0700
id,"1112776376","29986754514",2026-07-05,"258324793",bright-me-up-sunscreen-spf-40-pa,2026-07-22 17:28:38.256 +0700
