product_listing_key,country_code,shop_id,item_id,product_name,snapshot_date,tier_variation_name,tier_variation_options,tier_variation_options_count
id:1112776376:43050856028,id,1112776376,43050856028,SCORA Bright Me Up Sunscreen 40 gr Sunblock Mencerahkan Melindungi UV Menyerap Cepat Glowing Sepanjang Hari,2026-07-03,,"[""""]",1
id:1112776376:43350865998,id,1112776376,43350865998,SCORA Bright Me Up Sunscreen 40 Gr + SCORA Gentle Low pH Cleanser 100ml,2026-07-03,Bundle Set,"[""Salicylic"", ""D-Panthenol""]",2
id:1112776376:43678841200,id,1112776376,43678841200,SCORA Honey Glow Tone Up Cream 30 Gr,2026-07-03,,"[""""]",1
id:1112776376:44150857512,id,1112776376,44150857512,"Day & Night Care Set: SCORA Bright Me Up Sunscreen 40 Gr + SCORA Tone Up Cream Series 30 mL + 2,5% D-PANTHENOL BARRIER SHIELD MOISTURIZER 40ml + SCORA D-Panthenol Gentle Low pH Cleanser 100ml",2026-07-03,Bundle Set,"[""Day Glowing-Sheer"", ""Day Glowing-Honey"", ""Night Calming Set""]",3
id:1112776376:44250862508,id,1112776376,44250862508,SCORA Bright Me Up Sunscreen 40 Gr 2 Pcs [TWINPACK],2026-07-03,,"[""""]",1
id:1112776376:44357287683,id,1112776376,44357287683,[Hero] SCORA Bright Me Up Sunscreen 40 Gr 2 Pcs,2026-07-03,,"[""""]",1
id:1112776376:45202148898,id,1112776376,45202148898,5-Step Bundle: Scora Cleanser Series 100ml + Scora Toner Series 80 ml + Scora Serum Series 20ml + Scora Moisturizer series + Scora Sunscreen 40gr,2026-07-03,Bundle Set,"[""Acne-Sensitive Kit"", ""Glowing Maksimal"", ""Total Sensitive Care"", ""Acne Glowing Kit""]",4
id:1112776376:45603015792,id,1112776376,45603015792,[Hero] Scora Succinic Acid Hydra Calm Low pH Cleanser 100ml | Sabun Wajah Facial Wash Sabun Wajah Berjerawat Acne Gentle Scora Official Store,2026-07-03,,"[""""]",1
id:1112776376:45953007208,id,1112776376,45953007208,[Hero] Scora Phytobright Gentle Low pH Cleanser 100ml | Sabun Muka Sabun Wajah Sensitif sabun mencerahkan Scora Official Store,2026-07-03,,"[""""]",1
id:1112776376:46406352766,id,1112776376,46406352766,[Glowing Set] SCORA Honey Glow Tone Up Cream 30 Gr + SCORA Bright Me Up Sunscreen 40 ml + SCORA Gentle Low pH Cleanser Series 100 ml,2026-07-03,Variant,"[""Salicylic Acid"", ""D-Panthenol"", ""Succinic Acid"", ""Phytobright""]",4
id:1112776376:46456356622,id,1112776376,46456356622,SCORA Honey Glow Tone Up Cream 30 Gr [TWINPACK],2026-07-03,,"[""""]",1
id:1112776376:49150942512,id,1112776376,49150942512,SCORA Toner 80 ML + Scora Bright Me Up Sunscreen 40 Gr + Scora Sheer Glow Tone Up Cream 30 ml,2026-07-03,Bundle Set,"[""Hydra Cica"", ""Phytobright"", ""D-Panthenol""]",3
id:1112776376:49510914017,id,1112776376,49510914017,[NEW LAUNCH] Scora Hydra Calm Cica Soothing Moisturizer 40ml,2026-07-03,,"[""""]",1
id:1112776376:50052128213,id,1112776376,50052128213,Scora Succinic Acid Hydra Calm Low pH Cleanser 100ml | Sabun Wajah Facial Wash Sabun Wajah Berjerawat Acne Gentle Scora Official Store,2026-07-03,,"[""""]",1
id:1112776376:51052124106,id,1112776376,51052124106,6-Step Bundle: Scora Cleanser 100ml + Scora Toner Series 80 ml + Scora Serum Series 20ml + Scora Moisturizer series + Scora Bright Me Up Sunscreen 40gr + Scora Honey Glow Tone Up Cream 30 ml,2026-07-03,Bundle Set,"[""Acne-Sensitve Kit"", ""Glowing Maksimal"", ""Total Sensitive Care"", ""Acne Glowing Kit""]",4
id:1112776376:51202128731,id,1112776376,51202128731,3-Step Bundle: Scora Cleanser 100ml + Scora Toner Series 80 ml + Scora Serum Series 20ml,2026-07-03,Bundle Set,"[""3 Pcs - Acne"", ""3 Pcs - Brightening"", ""3 Pcs - Hydrating""]",3
id:1112776376:51300784899,id,1112776376,51300784899,[My Daily Glow Up Set] Scora Bright Me Up Sunscreen 40 Gr + SCORA Moisturizer Gel + SCORA Gentle Low pH Cleanser 100 ML + SCORA Toner 80 ML,2026-07-03,Bundle Set,"[""Bright-Oily Skin"", ""Bright-Sensitive Dry"", ""Total Acne Care"", ""Total Sensitive Care"", ""Acne-Bright"", ""Total Brightening""]",6
id:1112776376:52350295940,id,1112776376,52350295940,"SCORA Toner Series 80ml - Hydra Calm Cica Toner, Phytobright Milky Toner, D–Panthenol Barrier Essence",2026-07-03,Varian,"[""D-Panthenol"", ""Phytobright"", ""Hydra Calm Cica""]",3
id:1112776376:52352137319,id,1112776376,52352137319,Scora Serum Series 20ml | Serum Mencerahkan Skin Barrier Acne Berjerawat Whitening Alpha Arbutin Tranexamic Acid Panthenol Melembabkan Kulit Kering Kulit Berminyak Sensitive calming Centella Asiatica CICA,2026-07-03,Varian,"[""Hydra Calm Cica"", ""Phytobright"", ""D-Panthenol Barrier""]",3
id:1112776376:54410896800,id,1112776376,54410896800,SCORA Acne Calm Rescue Bundle: SCORA Hydra Calm Cica Soothing Moisturizer 40 ML + SCORA Salicylic Acid Gentle Low pH Cleanser 100ml + SCORA Phytobright Milky Toner 80 ML + SCORA Gentle and Soothe Micellar Cleansing Water 100ML,2026-07-03,Variant,"[""1 Pcs Hydra Calm"", ""MTS Cica Sheer glow"", ""MTS Cica Honey"", ""Acne Sensitif Kit"", ""Daily Acne Calm"", ""4-Step Bebas Jerawat"", ""AcneBright:Oily Skin"", ""AcneBright:Sensitive""]",8
