shop_id,shop_name,username,rating_star,follower_count,item_count,is_official_shop,response_rate,response_time,rating_good,rating_normal,rating_bad,cancellation_rate,created_at,vacation,country_code,date,source_file,path_country_code,path_dataset,path_shop_id,response_time_num,rating_good_num,cancellation_rate_num,response_rate_num,rating_star_num,item_count_num,rating_normal_num,follower_count_num,rating_bad_num,is_official_shop_bool,vacation_bool
1112776376,Scora Official Store,scoraofficial,4.868182,1130746,97,True,60,8410,2004850,29573,4239,0,2023-11-08T07:33:05+00:00,False,id,2026-07-03,Dataset/DataRaw/country_code=id/dataset=shop_info/shop_id=1112776376/shop_info.csv,id,shop_info,1112776376,8410,2004850,0,60,4.868182,97,29573,1130746,4239,true,false
1368540320,Cyeecare Official Store,cyeecare.id,4.824111,148642,75,True,100,99,297631,8673,1481,0,2024-09-27T06:06:35+00:00,False,id,2026-07-03,Dataset/DataRaw/country_code=id/dataset=shop_info/shop_id=1368540320/shop_info.csv,id,shop_info,1368540320,99,297631,0,100,4.824111,75,8673,148642,1481,true,false
1379527329,ZOICY Official Store,zoicy,4.932727,2930,19,True,100,87,4948,32,2,0,2024-10-11T07:19:30+00:00,False,id,2026-07-03,Dataset/DataRaw/country_code=id/dataset=shop_info/shop_id=1379527329/shop_info.csv,id,shop_info,1379527329,87,4948,0,100,4.932727,19,32,2930,2,true,false
187405886,Alara Cosmetic Official Store,alaracosmetic.official,4.787985,6763,7,True,39,6525,4839,140,30,29,2019-10-11T02:08:13+00:00,False,id,2026-07-03,Dataset/DataRaw/country_code=id/dataset=shop_info/shop_id=187405886/shop_info.csv,id,shop_info,187405886,6525,4839,29,39,4.787985,7,140,6763,30,true,false
200048291,Prettywell Official Shop,prettywell.co,4.894138,114212,38,True,98,5714,75002,785,78,0,2019-11-15T14:45:53+00:00,False,id,2026-07-03,Dataset/DataRaw/country_code=id/dataset=shop_info/shop_id=200048291/shop_info.csv,id,shop_info,200048291,5714,75002,0,98,4.894138,38,785,114212,78,true,false
430940247,Mooi Pure Glow Official Shop,mooiglowserum,4.798412,60238,53,True,100,149,59170,1991,364,0,2021-04-26T06:12:46+00:00,False,id,2026-07-03,Dataset/DataRaw/country_code=id/dataset=shop_info/shop_id=430940247/shop_info.csv,id,shop_info,430940247,149,59170,0,100,4.798412,53,1991,60238,364,true,false
697604885,ghaniskin,ghaniskin,4.863366,44783,3,False,90,7397,37973,635,116,0,2022-02-24T05:32:19+00:00,False,id,2026-07-03,Dataset/DataRaw/country_code=id/dataset=shop_info/shop_id=697604885/shop_info.csv,id,shop_info,697604885,7397,37973,0,90,4.863366,3,635,44783,116,false,false
779266191,lavojoy Official Shop,lavojoy,4.886074,837182,40,True,100,3,732244,10381,1982,0,2022-05-25T01:34:30+00:00,False,id,2026-07-03,Dataset/DataRaw/country_code=id/dataset=shop_info/shop_id=779266191/shop_info.csv,id,shop_info,779266191,3,732244,0,100,4.886074,40,10381,837182,1982,true,false
809769142,Glad2Glow Official Store,glad2glow.indo,4.879652,5569809,225,True,100,31,8186740,94888,19864,0,2022-07-04T10:29:56+00:00,False,id,2026-07-03,Dataset/DataRaw/country_code=id/dataset=shop_info/shop_id=809769142/shop_info.csv,id,shop_info,809769142,31,8186740,0,100,4.879652,225,94888,5569809,19864,true,false
859233628,He-Ji Official Store,hejiofficial,4.807281,10933,10,True,100,5076,19853,593,134,0,2022-09-08T03:09:36+00:00,False,id,2026-07-03,Dataset/DataRaw/country_code=id/dataset=shop_info/shop_id=859233628/shop_info.csv,id,shop_info,859233628,5076,19853,0,100,4.807281,10,593,10933,134,true,false
