platform,client,key,category_id,parent_category_id,original_category_name,display_category_name,has_children,debug_message,source_file,path_country_code,path_dataset,path_shop_id,country_code,parent_category_id_num,category_id_num,client_num,has_children_bool
Shopee,758395205,get_category,100017,0,Women Clothes,Pakaian Wanita,TRUE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,0,100017,758395205,true
Shopee,758395205,get_category,100118,100017,Socks & Stockings,Kaos Kaki & Stoking,TRUE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100118,758395205,true
Shopee,758395205,get_category,100419,100118,Others,Lainnya,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100118,100419,758395205,false
Shopee,758395205,get_category,100418,100118,Pantyhose,Celana Ketat (Pantyhose),FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100118,100418,758395205,false
Shopee,758395205,get_category,100417,100118,Socks,Kaos Kaki,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100118,100417,758395205,false
Shopee,758395205,get_category,100117,100017,Fabric,Kain,TRUE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100117,758395205,true
Shopee,758395205,get_category,100416,100117,Others,Lainnya,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100117,100416,758395205,false
Shopee,758395205,get_category,100413,100117,Canvas,Kanvas,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100117,100413,758395205,false
Shopee,758395205,get_category,100412,100117,Denim,Denim,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100117,100412,758395205,false
Shopee,758395205,get_category,100411,100117,Vinyl & Nylon,Vinil & Nilon,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100117,100411,758395205,false
Shopee,758395205,get_category,100410,100117,Leather,Kulit,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100117,100410,758395205,false
Shopee,758395205,get_category,100409,100117,"Velvet, Silk & Satin","Beludru, Sutra & Satin",FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100117,100409,758395205,false
Shopee,758395205,get_category,100408,100117,Wool,Wol,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100117,100408,758395205,false
Shopee,758395205,get_category,100407,100117,Cotton,Katun,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100117,100407,758395205,false
Shopee,758395205,get_category,100116,100017,Others,Lainnya,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100116,758395205,false
Shopee,758395205,get_category,100115,100017,Costumes,Kostum,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100115,758395205,false
Shopee,758395205,get_category,100114,100017,Traditional Wear,Pakaian Tradisional,TRUE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100114,758395205,true
Shopee,758395205,get_category,100404,100114,Others,Lainnya,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100114,100404,758395205,false
Shopee,758395205,get_category,100403,100114,Dresses,Gaun / Dress,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100114,100403,758395205,false
Shopee,758395205,get_category,100402,100114,Sets,Setelan,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100114,100402,758395205,false
Shopee,758395205,get_category,100401,100114,Bottoms,Bawahan,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100114,100401,758395205,false
Shopee,758395205,get_category,100400,100114,Tops,Atasan,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100114,100400,758395205,false
Shopee,758395205,get_category,100113,100017,Maternity Wear,Pakaian Hamil,TRUE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100113,758395205,true
Shopee,758395205,get_category,100399,100113,Others,Lainnya,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100113,100399,758395205,false
